alumno,materia,semestre
6,6,1
6,1,2
6,4,2
6,5,2
9,1,2
9,6,2
9,4,2
9,5,2
9,2,4
12,6,2
12,4,2
12,5,2
12,1,2
12,3,3
12,2,3
12,7,4
12,10,7
12,11,8
12,8,9
12,9,10
13,1,2
13,6,2
14,4,2
14,1,2
14,6,2
14,5,2
14,3,4
14,2,8
14,7,9
14,10,10
15,6,2
15,4,2
15,5,2
15,1,2
15,3,2
15,7,3
15,2,4
15,11,4
15,8,8
15,10,10
16,1,2
16,6,2
16,3,2
16,5,2
16,4,4
16,2,6
20,1,2
20,5,3
20,6,4
22,1,2
22,5,3
22,6,3
22,4,4
22,3,4
24,6,2
24,4,4
24,1,5
24,2,6
25,1,5
25,6,5
25,5,10
31,5,2
31,4,2
31,6,2
31,1,2
31,3,3
33,2,1
33,6,2
33,4,2
33,3,2
33,1,2
33,5,2
33,7,2
33,11,3
33,8,3
33,10,4
33,9,5
37,1,4
37,6,5
37,4,6
37,5,7
37,2,9
37,3,9
46,6,2
46,5,2
46,3,2
46,1,3
46,4,3
46,2,8
46,7,8
46,11,9
46,10,10
46,8,10
46,9,10
58,4,1
58,6,1
58,5,2
58,1,2
58,2,6
60,6,2
60,1,4
68,2,1
68,6,2
68,4,2
68,1,2
68,3,2
68,5,2
68,7,2
68,11,3
68,8,3
68,10,4
68,9,5
70,6,2
70,1,2
72,5,2
72,6,3
72,1,4
72,2,7
78,6,2
78,1,4
78,5,7
80,6,1
80,1,2
90,6,2
90,1,2
90,3,2
90,5,2
90,7,3
90,11,3
90,10,4
90,2,5
90,8,5
90,9,7
105,2,1
105,6,2
105,4,2
105,5,2
105,1,2
105,3,2
105,7,2
105,10,5
105,8,6
105,9,6
105,11,8
107,6,2
107,1,2
107,5,2
107,4,4
109,2,1
109,6,2
109,1,2
109,3,2
109,5,3
109,7,4
109,4,4
109,11,8
109,10,10
111,6,2
111,1,2
111,4,4
111,5,4
111,3,4
111,2,5
113,1,4
113,6,4
118,6,2
118,4,2
118,5,2
118,1,2
118,7,2
118,3,2
118,2,3
118,10,4
118,8,6
118,9,7
118,11,8
120,1,2
120,5,2
120,6,2
123,6,2
123,5,2
123,1,4
126,6,2
126,7,2
126,1,3
126,5,3
126,4,4
126,2,6
126,3,6
126,10,9
136,6,2
136,1,2
141,2,1
141,6,2
141,5,2
141,1,2
141,7,2
141,3,2
141,4,3
141,11,3
141,10,4
141,8,6
141,9,8
143,6,2
143,1,2
147,1,2
147,6,2
147,5,4
153,2,1
153,1,2
153,6,2
153,5,2
153,4,4
153,3,10
155,6,2
155,3,2
155,1,3
155,5,3
157,6,1
157,1,1
157,5,2
157,2,2
157,4,6
157,3,8
157,7,8
160,5,2
160,1,2
160,6,2
160,2,2
160,4,4
160,7,5
160,3,8
160,8,11
162,5,2
162,6,2
162,1,10
170,1,2
170,6,2
170,7,7
170,3,8
170,5,9
173,4,4
173,6,4
173,5,4
175,1,2
175,5,2
175,4,4
179,6,4
179,5,7
194,4,2
194,6,2
218,4,2
218,6,2
218,1,2
218,5,2
218,2,2
220,6,2
220,1,2
220,5,2
220,4,2
221,6,2
221,5,4
221,1,7
221,2,7
222,6,2
222,1,2
222,5,2
222,2,4
222,4,6
222,3,8
225,6,2
225,5,2
225,1,2
225,4,2
227,4,2
227,5,2
227,1,2
227,6,3
227,2,6
227,7,7
227,3,8
229,6,2
229,1,3
229,5,4
230,1,1
230,6,2
230,5,2
230,4,4
230,3,4
233,4,2
233,6,2
233,5,2
233,1,2
233,2,2
234,2,1
234,4,2
234,6,2
234,5,2
234,1,2
234,3,3
234,7,6
234,11,8
234,8,9
237,6,3
237,1,4
237,5,8
245,6,4
245,5,5
245,1,6
245,2,8
246,1,2
246,6,4
246,5,4
246,4,6
247,1,2
247,6,2
247,3,2
247,4,3
247,5,3
247,2,4
247,7,7
247,8,8
249,1,2
249,6,2
251,6,2
251,1,3
251,5,7
251,2,7
253,1,2
253,6,2
259,6,4
259,1,7
259,5,8
265,6,2
265,1,5
266,6,1
266,1,2
266,5,3
266,2,6
271,6,2
271,7,3
276,1,2
276,5,2
276,4,3
276,6,3
278,6,3
278,1,5
283,6,2
283,5,2
283,1,3
283,3,4
283,4,6
289,6,2
289,5,2
289,1,2
289,3,2
289,4,4
289,7,4
289,2,6
291,2,1
291,4,2
291,6,2
291,3,2
291,5,2
291,1,2
291,7,2
291,10,4
291,8,5
296,4,2
296,6,2
296,1,2
296,5,2
296,2,3
296,3,4
297,4,2
297,6,2
297,5,2
297,1,2
297,7,3
301,6,2
301,1,2
301,2,3
301,4,4
301,5,4
301,3,7
302,6,2
302,1,2
302,5,2
302,3,3
302,7,4
302,10,4
302,8,6
303,4,2
303,6,2
303,1,2
303,5,2
304,6,2
304,1,2
304,5,2
304,2,3
304,4,4
304,3,4
304,7,6
305,6,2
305,1,2
305,5,2
310,6,2
310,5,2
310,1,3
310,3,4
310,2,6
315,6,2
315,1,5
315,4,6
315,2,6
316,4,2
316,6,2
316,5,2
316,1,2
316,3,5
316,2,6
317,6,2
317,4,2
317,5,2
317,1,2
317,3,3
326,6,4
326,1,5
327,6,2
327,5,2
327,1,2
329,6,2
329,1,2
329,5,2
329,3,4
329,2,7
331,6,2
331,1,5
333,1,2
333,6,2
333,5,2
333,4,4
336,4,2
336,6,2
336,1,2
336,5,2
336,2,3
345,1,2
345,6,2
345,5,2
345,2,4
455,1,1
455,4,2
455,5,2
470,5,2
470,6,2
470,1,2
470,4,5
470,7,8
470,3,9
470,10,10
470,2,11
470,11,13
470,8,21
474,1,1
474,2,2
474,6,4
474,5,4
476,6,3
476,5,4
476,2,6
476,3,6
476,1,7
476,4,8
476,7,12
476,11,16
476,10,18
478,5,4
478,6,5
478,1,8
478,4,8
478,3,9
482,5,2
482,6,3
482,1,4
482,3,5
482,4,6
482,2,6
482,7,14
490,6,3
490,5,4
492,5,2
492,4,2
492,6,3
492,1,4
492,3,4
492,7,6
492,11,9
492,10,11
492,2,14
492,8,17
492,9,18
501,6,2
501,5,3
501,4,4
501,1,6
501,7,10
501,10,12
501,2,13
501,3,22
504,6,1
504,5,1
504,2,2
504,1,2
504,3,3
504,7,7
504,4,7
504,11,8
504,10,11
504,8,20
507,6,2
507,5,2
507,3,2
507,2,2
507,1,3
508,1,1
508,6,1
508,5,2
508,7,2
508,4,2
508,2,2
508,3,4
508,10,7
508,11,8
508,8,14
508,9,16
509,5,2
509,6,2
509,4,4
509,1,5
509,2,6
512,6,1
512,5,2
512,4,2
512,1,2
512,3,2
512,7,2
512,2,6
512,11,9
512,10,11
512,8,12
512,9,13
513,6,2
513,5,2
513,2,2
513,7,2
513,3,3
513,4,4
513,1,4
513,11,4
513,10,5
514,6,1
514,5,2
514,4,4
514,1,4
514,3,7
514,7,10
515,6,1
515,5,2
515,2,2
515,1,3
515,4,4
515,3,7
515,7,10
515,11,11
515,10,16
517,5,2
517,6,2
517,2,2
517,4,4
517,1,6
519,5,2
519,6,3
519,2,4
519,4,4
519,1,4
519,3,7
519,7,10
519,11,11
519,10,16
521,6,1
521,5,1
521,1,2
521,7,2
521,3,3
521,11,3
521,4,4
521,2,4
521,10,7
521,8,9
521,9,12
523,5,1
523,4,2
523,6,3
523,1,3
523,3,6
526,5,2
526,6,2
531,5,2
531,4,4
531,1,7
531,6,10
540,6,1
540,1,3
540,5,5
542,6,2
542,5,2
542,1,4
542,4,5
542,7,7
542,3,8
542,11,9
544,3,3
544,6,3
544,2,4
544,5,6
544,4,8
545,6,1
545,1,1
545,5,2
545,7,4
545,4,5
545,10,6
545,3,8
545,11,9
545,2,13
547,6,1
547,1,1
547,5,2
547,7,3
547,2,14
549,4,2
549,5,2
549,3,2
549,1,3
549,6,3
549,7,5
549,11,6
549,10,8
549,2,10
549,8,11
549,9,14
556,6,2
556,1,3
556,5,4
556,4,9
568,6,1
568,5,4
570,6,1
570,1,1
570,3,2
570,5,4
570,2,4
570,4,12
570,7,14
573,6,1
573,5,2
573,3,2
573,1,2
573,4,4
573,2,5
573,7,6
573,11,7
573,10,11
574,6,1
574,1,1
574,5,2
574,4,2
574,2,3
574,7,3
574,3,4
574,10,4
574,11,5
574,8,8
574,9,9
576,6,1
576,5,2
576,1,2
576,3,2
576,4,4
576,2,6
576,7,7
576,11,10
576,10,12
578,6,1
578,1,1
578,4,2
578,3,2
578,5,3
578,7,3
578,2,4
578,10,4
578,11,5
578,8,14
578,9,14
